classifier,split,repeat,fold,panel,panel_label,panel_size,balanced_accuracy,macro_f1,accuracy,fit_seconds
SVM,28,5,3,mrna+rppa,mRNA+RPPA,2,0.8550320512820513,0.809095787222698,0.8592592592592593,0.03297853469848633
SVM,28,5,3,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8073237179487179,0.7441213042276872,0.762962962962963,0.046892404556274414
SVM,28,5,3,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.662451923076923,0.5867724867724868,0.6148148148148148,0.05351066589355469
SVM,28,5,3,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8612820512820513,0.8426972116666945,0.8740740740740741,0.03703904151916504
SVM,28,5,3,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.810448717948718,0.7481240342154114,0.7703703703703704,0.045250654220581055
SVM,28,5,3,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.810448717948718,0.7481240342154114,0.7703703703703704,0.048271894454956055
RF,29,5,4,EMPTY,Baseline,0,0.2,0.12864321608040202,0.4740740740740741,0.0
RF,29,5,4,mutations,Mutations,1,0.36058467741935485,0.34312512049354155,0.5777777777777777,3.5721635818481445
RF,29,5,4,cnv,CNV,1,0.3543010752688172,0.370718954248366,0.5777777777777777,2.1588120460510254
RF,29,5,4,mrna,mRNA,1,0.6084341397849463,0.6302159521526731,0.8074074074074075,2.1395673751831055
RF,29,5,4,rppa,RPPA,1,0.5611559139784946,0.5724809923969588,0.7555555555555555,2.1784379482269287
RF,29,5,4,mutations+cnv,Mutations+CNV,2,0.38306451612903225,0.3753637666681145,0.6074074074074074,2.6713738441467285
RF,29,5,4,mutations+mrna,Mutations+mRNA,2,0.5855174731182796,0.6118572809923501,0.7777777777777778,4.531847715377808
RF,29,5,4,mutations+rppa,Mutations+RPPA,2,0.459744623655914,0.45696370689197086,0.6592592592592592,2.5817739963531494
RF,29,5,4,cnv+mrna,CNV+mRNA,2,0.5647177419354839,0.5863722943722943,0.762962962962963,2.4966485500335693
RF,29,5,4,cnv+rppa,CNV+RPPA,2,0.5299059139784946,0.5518840579710145,0.7185185185185186,2.5891144275665283
RF,29,5,4,mrna+rppa,mRNA+RPPA,2,0.636760752688172,0.6530194762836641,0.8222222222222222,3.225175380706787
RF,29,5,4,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5963709677419355,0.6213109977650719,0.762962962962963,4.266061305999756
RF,29,5,4,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.4824260752688173,0.492650601799832,0.6814814814814815,2.8440916538238525
RF,29,5,4,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.6219758064516129,0.6458643457382953,0.8074074074074075,2.8954639434814453
RF,29,5,4,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6034274193548387,0.6301526015811729,0.8074074074074075,2.892157793045044
RF,29,5,4,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.6071908602150538,0.6285069275461149,0.7925925925925926,5.1743245124816895
XGB,29,5,4,EMPTY,Baseline,0,0.2,0.12864321608040202,0.4740740740740741,0.0
XGB,29,5,4,mutations,Mutations,1,0.3543010752688172,0.35158458189268793,0.5407407407407407,6.646946430206299
XGB,29,5,4,cnv,CNV,1,0.36720430107526886,0.3820159088491496,0.5481481481481482,9.859849452972412
XGB,29,5,4,mrna,mRNA,1,0.7750672043010753,0.7968614120684214,0.8444444444444444,4.944874286651611
XGB,29,5,4,rppa,RPPA,1,0.5900873655913978,0.5859368728334245,0.7407407407407407,9.27432370185852
XGB,29,5,4,mutations+cnv,Mutations+CNV,2,0.4978158602150538,0.5269942726328362,0.6370370370370371,15.810449600219727
XGB,29,5,4,mutations+mrna,Mutations+mRNA,2,0.7071572580645161,0.7181673121999523,0.8148148148148148,13.449082612991333
XGB,29,5,4,mutations+rppa,Mutations+RPPA,2,0.561122311827957,0.555539993775288,0.7407407407407407,14.741094827651978
XGB,29,5,4,cnv+mrna,CNV+mRNA,2,0.7569556451612903,0.7836345545002261,0.837037037037037,12.982520341873169
XGB,29,5,4,cnv+rppa,CNV+RPPA,2,0.5677755376344086,0.5770193882479401,0.7407407407407407,14.48675274848938
XGB,29,5,4,mrna+rppa,mRNA+RPPA,2,0.726747311827957,0.7492113289760349,0.8444444444444444,13.250338077545166
XGB,29,5,4,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7550739247311828,0.7887603930461073,0.837037037037037,17.871448278427124
XGB,29,5,4,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.5723790322580645,0.5780392156862745,0.762962962962963,19.528148651123047
XGB,29,5,4,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7165322580645161,0.7391046208693267,0.837037037037037,21.017606735229492
XGB,29,5,4,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7769489247311828,0.7977942057942058,0.8444444444444444,17.414742708206177
XGB,29,5,4,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.7898521505376344,0.8194817136886103,0.8592592592592593,24.726730346679688
SVM,29,5,4,EMPTY,Baseline,0,0.2,0.12864321608040202,0.4740740740740741,0.0
SVM,29,5,4,mutations,Mutations,1,0.3883064516129032,0.35827816152393693,0.562962962962963,0.028427600860595703
SVM,29,5,4,cnv,CNV,1,0.6519489247311828,0.5711504022435667,0.6074074074074074,0.024426937103271484
SVM,29,5,4,mrna,mRNA,1,0.8350470430107528,0.808646461065816,0.8518518518518519,0.016602516174316406
SVM,29,5,4,rppa,RPPA,1,0.5961021505376344,0.5818065458100576,0.7111111111111111,0.02208542823791504
SVM,29,5,4,mutations+cnv,Mutations+CNV,2,0.6550739247311828,0.5793667730287448,0.6148148148148148,0.032677650451660156
SVM,29,5,4,mutations+mrna,Mutations+mRNA,2,0.8350470430107528,0.808646461065816,0.8518518518518519,0.022075176239013672
SVM,29,5,4,mutations+rppa,Mutations+RPPA,2,0.6537970430107526,0.6397120233502391,0.7333333333333333,0.029751300811767578
SVM,29,5,4,cnv+mrna,CNV+mRNA,2,0.8292002688172044,0.801658582339088,0.8222222222222222,0.028581619262695312
SVM,29,5,4,cnv+rppa,CNV+RPPA,2,0.6729838709677419,0.6042146362542749,0.6370370370370371,0.03404641151428223
SVM,29,5,4,mrna+rppa,mRNA+RPPA,2,0.8267137096774194,0.798515831254335,0.8444444444444444,0.023146390914916992
SVM,29,5,4,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8292002688172044,0.801658582339088,0.8222222222222222,0.03301811218261719
SVM,29,5,4,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6761088709677419,0.6132211702608089,0.6444444444444445,0.04313015937805176
SVM,29,5,4,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8267137096774194,0.798515831254335,0.8444444444444444,0.026686668395996094
SVM,29,5,4,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8292002688172044,0.801658582339088,0.8222222222222222,0.03317451477050781
SVM,29,5,4,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8292002688172044,0.801658582339088,0.8222222222222222,0.03903937339782715
RF,30,6,0,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
RF,30,6,0,mutations,Mutations,1,0.3756392275326356,0.326769741886021,0.6102941176470589,2.228234052658081
RF,30,6,0,cnv,CNV,1,0.37864710324738377,0.39663038050534305,0.5882352941176471,2.128615379333496
RF,30,6,0,mrna,mRNA,1,0.6038709677419355,0.6170001919570016,0.7941176470588235,2.1674482822418213
RF,30,6,0,rppa,RPPA,1,0.5348840220088468,0.5516376727675538,0.7205882352941176,2.2008728981018066
RF,30,6,0,mutations+cnv,Mutations+CNV,2,0.4514456791455389,0.4611161254815631,0.6470588235294118,4.627221584320068
RF,30,6,0,mutations+mrna,Mutations+mRNA,2,0.5764764267990075,0.5956582633053221,0.7794117647058824,2.7443912029266357
RF,30,6,0,mutations+rppa,Mutations+RPPA,2,0.5031049735678066,0.5182714104750181,0.7352941176470589,2.613091230392456
RF,30,6,0,cnv+mrna,CNV+mRNA,2,0.6700248138957817,0.716517006802721,0.7867647058823529,2.572464942932129
