estimator,classifier,pair,pair_label,n_bootstrap_requested,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high,n_valid_bootstrap,n_failed_bootstrap,solver_valid_rate,median_max_numerical_error,median_solver_seconds
I_min,XGB,cnv+rppa,CNV+RPPA,1000,0.4033171502697442,0.029964025043692506,0.3440540537012626,0.4613881092909343,0.017890291285982338,0.006350772600252653,0.007341403057040573,0.03197635297070791,0.39928719869942436,0.040987780213911106,0.3195134184080473,0.4804282620706673,0.11747513045287367,0.01566981380373187,0.08819497611744197,0.14849177262457372,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,0.9379697707080245,0.03632555422087728,0.86983655306052,1.009144666837391,1000,0,,,
I_min,XGB,mrna+rppa,mRNA+RPPA,1000,0.8011612702389164,0.03822747439660518,0.7249834373306955,0.876207141839645,0.33496118122937285,0.04312941322532219,0.2536651558649819,0.4199025384268442,0.0014430787302522753,0.004283958519140992,0.0,0.0165378390883112,0.12481911329774295,0.01556017156206693,0.09566236718384104,0.15524067810401518,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,1.2623846434962842,0.03660609897513177,1.1913707357810852,1.3322414938529388,1000,0,,,
I_min,SVM,mutations+cnv,Mutations+CNV,1000,0.3256543241444225,0.02357798770192548,0.2798435917213797,0.3715213597594685,0.03575353229966306,0.020393376684920868,5.551115123125783e-17,0.0798500175256669,0.2053419337119775,0.03745842938693133,0.13634556973126383,0.2837226687562476,0.2307158444250856,0.018720991638367594,0.1968848055044244,0.2673895694955012,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,0.7974656345811486,0.03531471546932416,0.7321153888143703,0.8666839478888547,1000,0,,,
I_min,SVM,mutations+mrna,Mutations+mRNA,1000,0.36140785644408563,0.03088595860717496,0.30186891309305053,0.4199094968703535,2.4313884239290928e-17,5.0785665197140044e-17,0.0,1.6653345369377348e-16,0.9426794196221522,0.04631547144260131,0.85413519707419,1.034909157003514,0.05052131807430305,0.01128327687991538,0.03173195368606968,0.0745075369532134,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,1.3546085941405408,0.03582730403989175,1.2835840656620086,1.4264464122608538,1000,0,,,
I_min,SVM,mutations+rppa,Mutations+RPPA,1000,0.3602672427107164,0.030744755680187294,0.3011289904189336,0.41975349903009934,0.001140613733369191,0.0024455695086249896,0.0,0.00843838087285211,0.5440408164971571,0.049449475254884336,0.4454346917258225,0.6423781296081538,0.14286253419676417,0.020519371740813447,0.10738532379979066,0.18668854593865822,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.0483112071380067,0.03653980603458474,0.9761242997733014,1.121749196751836,1000,0,,,
I_min,SVM,cnv+mrna,CNV+mRNA,1000,0.5277406399054274,0.03877391030356287,0.4494472834473801,0.6027774893642337,0.0032556179509727065,0.005943467339090441,0.0,0.02047136196639546,0.7763466361608103,0.048568057257360915,0.6799129419734152,0.8699972474539702,0.08140902124329878,0.013975250746147928,0.05540818956857675,0.11011178606835709,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,1.3887519152605095,0.03315426474016605,1.3263537744725713,1.4531607991929685,1000,0,,,
I_min,SVM,cnv+rppa,CNV+RPPA,1000,0.4797020108356144,0.03772851374538479,0.40709240421469706,0.553913546008773,0.05129424702078561,0.010197418275162067,0.03296727670781294,0.07154254043160974,0.424606048372259,0.04970309092898232,0.32890640022230966,0.5196852589464797,0.13987157910454584,0.019488948801922208,0.10335344690315647,0.18052436027843716,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.0954738853332049,0.03661950568521813,1.0253973689069675,1.164807624927863,1000,0,,,
I_min,SVM,mrna+rppa,mRNA+RPPA,1000,0.9036378470508726,0.040404330189612044,0.826597008467951,0.9836341291955514,0.4004494290153651,0.04729184923672488,0.3094362655190903,0.4964507483043909,0.000670212157000914,0.002979749762524717,0.0,0.01067529599983408,0.10392007605906345,0.017746908170957414,0.07135009760515262,0.13839462020255974,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.408677564282302,0.03424200422772393,1.342245516166819,1.474378296912873,1000,0,,,
BROJA,RF,mutations+cnv,Mutations+CNV,1000,0.18012074475991943,0.016772557937803332,0.1489398438084253,0.2136547866386093,0.14020492749453017,0.025180079553030674,0.09282697896134445,0.19132596461650217,0.1508898015128629,0.022166654614600677,0.11154806648590346,0.19789175136193085,0.0855366131044807,0.011817096984703394,0.06320430818431473,0.10884054136810452,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.5567520868717932,0.03363211351552171,0.49095313405405916,0.6246563803711328,1000,0,1.0,8.448610699929304e-10,0.019268155097961426
BROJA,RF,mutations+mrna,Mutations+mRNA,1000,0.3165339744895167,0.027879309282222684,0.2633647476542169,0.3704532469138047,0.0037916979440444304,0.003851119354265551,0.00030397945758903005,0.014235730455176773,0.665741725312713,0.04520530390562706,0.5814684046059152,0.7532840718433348,0.056852458986741954,0.01283965387051316,0.033506702549048056,0.0836432064885035,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,1.0429198567330158,0.03434368920425537,0.9807351167292631,1.110259042573559,1000,0,1.0,1.2294001927593001e-09,0.017492294311523438
BROJA,RF,mutations+rppa,Mutations+RPPA,1000,0.30413829395122527,0.02460430192592751,0.25831086272009246,0.3550541661157773,0.016187378431354985,0.012427053648116113,0.0013146270497504055,0.04673119019822639,0.3926129896692516,0.03787473192001197,0.32135979131399617,0.473028744595509,0.11253856523405165,0.016588106113500176,0.08065782339196423,0.14459251234047713,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,0.8254772272858834,0.036039179697111755,0.757856148844786,0.8973675990394315,1000,0,1.0,1.2613914357473277e-09,0.01825428009033203
BROJA,RF,cnv+mrna,CNV+mRNA,1000,0.3183042924887703,0.02865580452606526,0.2637376337120094,0.37573514403040736,0.012706253898118981,0.004334630003589382,0.005861170504498552,0.02228470383057303,0.663971407249488,0.04497542686387605,0.5804866052202697,0.7495058254441765,0.08090305474538229,0.015088368610849171,0.05450582511562683,0.11240944201671574,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,1.0758850083817595,0.03426435790874671,1.0077539788464105,1.146477273843422,1000,0,1.0,1.107045011217167e-09,0.01756751537322998
BROJA,RF,cnv+rppa,CNV+RPPA,1000,0.3098514682264132,0.028098140691961523,0.25701539404275187,0.3653071172782452,0.021159078188863083,0.007690222661604645,0.008803715906711536,0.03834939078536578,0.38689981541372914,0.04002284198781846,0.3101911515218011,0.4660532390359279,0.1145997904317081,0.016321866020557085,0.08345579662614419,0.1460296200527234,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,0.8325101522607136,0.03790960467129053,0.7615442540530689,0.9059585450949701,1000,0,1.0,1.199083832226222e-09,0.01838386058807373
BROJA,RF,mrna+rppa,mRNA+RPPA,1000,0.6696251058001146,0.03654004492942071,0.5987869505040039,0.739981161935586,0.3126505938327266,0.03651826232521738,0.24325776786482833,0.38786218591200144,0.027126177829413727,0.01634051011728582,0.004661794122921588,0.06715101302738635,0.11292136597857064,0.016561964371943037,0.0803817974230961,0.14565067563275136,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,1.1223232434408255,0.038086867711896635,1.0475845729125748,1.196113374046008,1000,0,1.0,1.2495263712608562e-09,0.016613125801086426
BROJA,XGB,mutations+cnv,Mutations+CNV,1000,0.2441364467323847,0.017508396660069103,0.20963709820347512,0.2800278352174203,0.04515404353373248,0.01637790408176874,0.016000457790381957,0.08061414477134515,0.17707096859896074,0.025744744246934972,0.13091107957322964,0.2304211031575006,0.12529672315327858,0.011276934281249035,0.1038855569071638,0.14743870549290078,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,0.5916581820183564,0.0312671923188394,0.5297169544882606,0.6542679828042534,1000,0,0.999,1.0163688224373857e-09,0.022785067558288574
