classifier,repeat,panel,panel_label,panel_size,panel_score,best_constituent_single,best_constituent_single_score,integration_gain,gain_positive
SVM,1,mutations+rppa,Mutations+RPPA,2,0.651877315064552,rppa,0.6468132125004495,0.005064102564102502,True
SVM,1,cnv+mrna,CNV+mRNA,2,0.800141879742511,mrna,0.8108548791671162,-0.01071299942460513,False
SVM,1,cnv+rppa,CNV+RPPA,2,0.6466564893731794,rppa,0.6468132125004495,-0.00015672312727010862,False
SVM,1,mrna+rppa,mRNA+RPPA,2,0.8194420244902363,mrna,0.8108548791671162,0.008587145323120104,True
SVM,1,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8013822643578955,mrna,0.8108548791671162,-0.00947261480922068,False
SVM,1,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6466564893731794,rppa,0.6468132125004495,-0.00015672312727010862,False
SVM,1,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8170778940554537,mrna,0.8108548791671162,0.006223014888337541,True
SVM,1,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8020072643578955,mrna,0.8108548791671162,-0.008847614809220694,False
SVM,1,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8026322643578956,mrna,0.8108548791671162,-0.008222614809220596,False
SVM,2,mutations+cnv,Mutations+CNV,2,0.6554259404106879,cnv,0.6554259404106879,0.0,False
SVM,2,mutations+mrna,Mutations+mRNA,2,0.8187836291221636,mrna,0.8187836291221636,0.0,False
SVM,2,mutations+rppa,Mutations+RPPA,2,0.6292572014241018,rppa,0.6316435879454814,-0.0023863865213795687,False
SVM,2,cnv+mrna,CNV+mRNA,2,0.822074261876506,mrna,0.8187836291221636,0.003290632754342382,True
SVM,2,cnv+rppa,CNV+RPPA,2,0.6529531323048153,cnv,0.6554259404106879,-0.0024728081058725815,False
SVM,2,mrna+rppa,mRNA+RPPA,2,0.817682409105621,mrna,0.8187836291221636,-0.00110122001654267,False
SVM,2,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.822074261876506,mrna,0.8187836291221636,0.003290632754342382,True
