estimator,classifier,pair,pair_label,n_valid_repeats,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high
BROJA,XGB,cnv+mrna,CNV+mRNA,10,0.41434823768232676,0.03165709658850687,0.39545154144867534,0.4320551212697559,0.009543109372804875,0.002548817426954341,0.008123423154811326,0.011072800698765848,0.7235208278998994,0.03316671201143551,0.7036321370274862,0.7427968975617943,0.08486645532842411,0.013362065287146929,0.07729690522804196,0.0929568265849187,0.42389134708123477,0.03271468644395336,0.4043646933381318,0.4427940094634754,1.1378690656711676,0.019196406889084087,1.1270775550240912,1.149481247196451,1.232278630283455,0.025010686276977757,1.2173239157972178,1.2470889114974741
BROJA,XGB,cnv+rppa,CNV+RPPA,10,0.39616858571650376,0.02903853080631441,0.37880183247567784,0.4129930824910021,0.027722761349521775,0.010786833135532388,0.021480885012255906,0.03409590894727778,0.40353137853135673,0.038346548058377145,0.3817638310285863,0.42694814052444097,0.12496799109883254,0.01464920765751794,0.11627962044172983,0.13344017072434772,0.42389134708123477,0.03271468644395336,0.40358115983942494,0.4426388659043361,0.799699964275165,0.027614957207526405,0.7831045383057604,0.8156203876928885,0.9523907166962147,0.03294985507686099,0.9320409016380399,0.9700581794271069
BROJA,XGB,mrna+rppa,mRNA+RPPA,10,0.779650088349794,0.023943898630918174,0.7653824877562214,0.7934060988170132,0.35821897702971633,0.019148098052166978,0.3476333335600283,0.3698290187782131,0.020049875744271937,0.01595870903162044,0.01155601334178734,0.030166747440138256,0.11841361596143826,0.016092417709097737,0.10865602279502987,0.12773640691891555,1.1378690656711676,0.019196406889084087,1.126766040292683,1.1494813264579453,0.799699964275165,0.027614957207526405,0.7829578506024671,0.8157331716987115,1.27633255708522,0.02580568544717738,1.261222659400807,1.2911410685527451
BROJA,XGB,mutations+cnv,Mutations+CNV,10,0.24557334392200705,0.018816815273009643,0.23434607640810812,0.2564191984805179,0.04617331390675368,0.015228908830277017,0.03847492145520932,0.056019787487619134,0.17831800311878382,0.023936943461282136,0.1636052572616317,0.19138224407032312,0.15242691319641563,0.014471160148937763,0.14403097671377846,0.16113067040544038,0.2917466578700196,0.02180115009325675,0.2784122463042382,0.3035410316271213,0.42389134708123477,0.03271468644395336,0.40423644919877905,0.4422664879077701,0.6224915741439603,0.03442147830405869,0.6019426159989203,0.6421519984245129
BROJA,XGB,mutations+mrna,Mutations+mRNA,10,0.2903143845943152,0.02086039889018949,0.2773872573735293,0.3014817730335144,0.0014322732566221356,0.001938767242952427,0.0006266787773292109,0.002708068595356568,0.8475546809751083,0.03130217098247372,0.829948845141503,0.8665254217957554,0.06179044381018252,0.009974097520609466,0.056188084312631295,0.06763705995875968,0.2917466578700196,0.02180115009325675,0.2782738486926287,0.3037181268318495,1.1378690656711676,0.019196406889084087,1.1267660200854839,1.1490256263165792,1.201091782636228,0.021259155075495046,1.1889467364762376,1.2133613526001321
BROJA,XGB,mutations+rppa,Mutations+RPPA,10,0.28057690043167405,0.020970509633791268,0.2675865297097619,0.29204213976752597,0.011169757400599861,0.006986002128396196,0.007411937378716889,0.015500746344383101,0.5191230637609723,0.03609196018296282,0.4986253180136106,0.5403794237769401,0.12195236332178783,0.017298172097595616,0.11252014069694206,0.13266812715537474,0.2917466578700196,0.02180115009325675,0.2781023837619865,0.3035134699622853,0.799699964275165,0.027614957207526405,0.7831558055020388,0.8155454426626108,0.9328220849150337,0.03514693211784349,0.9117236398678477,0.9532040171590329
I_min,RF,cnv+mrna,CNV+mRNA,10,0.3265481439326362,0.03576719223796659,0.30465382920714607,0.3468681051322126,0.005822272702833036,0.006963701068249757,0.0026384610661886287,0.010399415118566327,0.6500692483682142,0.04412772335608747,0.6240853313132816,0.6752041227788814,0.1019375157260364,0.017965088048072505,0.09193601631918569,0.11290157624630906,0.33237041663546923,0.03875453408132131,0.30985761468369954,0.3545140715694273,0.9766173923008505,0.021347036518726856,0.9635010665719563,0.9888865920297044,1.0843771807297198,0.01831674511594444,1.0739804886002289,1.095752602053436
I_min,RF,cnv+rppa,CNV+RPPA,10,0.32105294049765776,0.036943818416986705,0.29860240189241255,0.3425787483846325,0.01131747613781153,0.007397929518055074,0.007545984199991354,0.016215463668143446,0.3691654466010015,0.03423563854828165,0.3494539102867937,0.3898015846600394,0.137812021028199,0.019422989829081142,0.12631100419430963,0.14885310122835196,0.33237041663546923,0.03875453408132131,0.30940680964927275,0.3545662654599252,0.6902183870986592,0.020738419252628943,0.6778703598375209,0.7020961493009764,0.8393478842646698,0.023573020351347288,0.8264937310907537,0.8543674005229827
I_min,RF,mrna+rppa,mRNA+RPPA,10,0.6902183870986593,0.02073841925262895,0.6779507370225523,0.7021088907741782,0.2863990052021911,0.02547137267915277,0.2712096990094298,0.3011317868248616,1.1102230246251566e-17,3.510833468576701e-17,0.0,3.3306690738754695e-17,0.14245575213647438,0.01341918275587743,0.13515693735412918,0.1506035351942233,0.9766173923008505,0.021347036518726856,0.9636823332393819,0.9887639644904475,0.6902183870986592,0.020738419252628943,0.6779075744983701,0.7023448877729498,1.1190731444373245,0.02411148655601856,1.1039712018445256,1.1321910895805594
I_min,RF,mutations+cnv,Mutations+CNV,10,0.24320336347083543,0.030639969884959824,0.22500672380481346,0.2606238080770877,0.0769526860622758,0.02984510395022934,0.0609396946677807,0.09615428262917881,0.08916705316463386,0.011338022092923802,0.0822766985641588,0.09554899129023783,0.15169936217873728,0.018608376087734906,0.14023966089542977,0.1619124847213008,0.3201560495331112,0.013536008248407986,0.312330404467836,0.3282842031593153,0.33237041663546923,0.03875453408132131,0.3089888487168882,0.3545052260669209,0.5610224648764823,0.029695591874978604,0.5442523655382193,0.5783750295259469
