classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50,rank
RF,THY1,50,0.005080565308108178,0.00502231348636372,0.005135004177399995,-2.7202742017831393e-18,False,29
RF,SKA3,50,0.005079402952770713,0.005027974253722865,0.0051294517676841915,-1.2307507040602626e-18,False,30
XGB,PLK1,50,0.0804791666533934,0.07990590014003845,0.08112299564443719,-0.0058287347035921875,False,1
XGB,KIFC1,50,0.08008934573251582,0.07948364548225571,0.08071794664428579,-0.002783180583567805,False,2
XGB,UBE2T,50,0.07967184043364489,0.0789765196198192,0.08036899235982652,-0.005877114337876994,True,3
XGB,MYBL2,50,0.07907009600173023,0.07836438131598832,0.07971990039815875,-0.004525907126159644,True,4
XGB,KIF4A,50,0.07904526854256298,0.07824667076099835,0.07988791567157207,-0.007259438073372431,False,5
XGB,KIF20A,50,0.07892191278575679,0.07801963584170746,0.0797571762031139,-0.006449681520011221,False,6
XGB,CCNB2,50,0.07886612926397486,0.07807174083309247,0.07964054405915914,-0.003467572927822274,False,7
XGB,TPX2,50,0.0788499204979785,0.07813109137104236,0.07961408382738122,-0.00521132139308609,False,8
XGB,UBE2C,50,0.07870600036251343,0.07796530809378,0.07941132302086498,-0.00263857797000747,True,9
XGB,TROAP,50,0.07850092373607272,0.07782725119313795,0.0791738183220341,-0.005054049265947092,False,10
XGB,GTSE1,50,0.0785006128204791,0.07786474174225824,0.0791141209029954,-0.003985004728310746,False,11
XGB,CDKN3,50,0.07847711640434235,0.07773291544457914,0.07917087209497174,-0.005758852621919576,False,12
XGB,CDC45,50,0.07847306758275453,0.07795408145365018,0.07900173993585857,-0.002632252851447591,False,13
XGB,SACK1D,50,0.07836406970446524,0.077629182693399,0.07909154311366136,-0.007450147912723823,False,14
XGB,EXO1,50,0.07832996880761453,0.07760968706981408,0.07902379868315283,-0.005313851489186062,True,15
XGB,FEN1,1,0.07822925228451695,0.07822925228451695,0.07822925228451695,0.000626201074902794,False,16
XGB,NOP53,1,0.0782283130318687,0.0782283130318687,0.0782283130318687,0.0071263364866321925,False,17
XGB,KIF2C,50,0.07820011293242335,0.07749419102047028,0.07888663444855905,-0.002602583886422449,True,18
XGB,DLGAP5,50,0.07814707400572803,0.07735573347704652,0.07894871314262966,-0.005895260284276806,False,19
XGB,RRM2,50,0.0781190875646444,0.07735839509411277,0.07888155783928201,-0.007075193633721687,True,20
XGB,HJURP,50,0.07807584467636935,0.07730932505507748,0.078801428907413,-0.003725681245767816,False,21
XGB,NCAPH,50,0.07781373124330927,0.07704940821314292,0.07852848800499555,-0.006107962801244276,False,22
XGB,SKA3,50,0.07774851695108642,0.0770457242894165,0.07848178073097622,-0.0034180695949502593,False,23
XGB,RAD51,50,0.07768701259193372,0.07698707210892546,0.07833739499666884,-0.0073697397060137225,False,24
XGB,SPC24,50,0.07754270265199613,0.07690924347674348,0.0782149397889905,-0.0013250548382888075,False,25
XGB,DKK3,50,0.07751449492935275,0.07690827972110746,0.07811697960516542,-0.011742883821402837,False,26
XGB,AURKA,50,0.07751321983712382,0.07672650029784059,0.07820481903480539,-0.0072531792150745235,False,27
XGB,CDC20,50,0.07730848762352095,0.07664197542328433,0.07797838360365551,0.00018174600442477185,True,28
XGB,AURKB,50,0.07730256358300468,0.07670323947909224,0.07795004594504776,-0.00023095372282024934,False,29
XGB,CDCA5,50,0.07725689469490007,0.07663162789665742,0.07786372748905675,-0.004609366348889326,False,30
SVM,VEZF1,1,0.024091345619644804,0.024091345619644804,0.024091345619644804,0.015687107489203156,False,1
SVM,STXBP1,1,0.021550145735666746,0.021550145735666746,0.021550145735666746,0.004313702194746594,False,2
SVM,TBKBP1,1,0.01715283316870296,0.01715283316870296,0.01715283316870296,0.0011540142325599787,False,3
SVM,IFIT5,4,0.017135143023844585,0.012687627030552569,0.021137075661736004,0.009672996707847215,False,4
SVM,MIR3936HG,10,0.01686267084781381,0.014985520575595998,0.018970744262249255,0.008152648837912538,False,5
SVM,UBR1,1,0.016734477201327674,0.016734477201327674,0.016734477201327674,0.014195849210106713,False,6
SVM,PPFIBP1,3,0.01653084895789408,0.012750010003713466,0.021554475826414426,0.012691953111647855,False,7
SVM,FOXA1,33,0.016292004945069428,0.015450861028970161,0.017152729645669933,0.010629878930750252,True,8
SVM,SPARC,50,0.01625051068203055,0.015385092981838593,0.017152401658105366,0.010552277921404068,False,9
SVM,RCOR3,1,0.01623912758354027,0.01623912758354027,0.01623912758354027,0.007079593667447901,False,10
SVM,RPL13AP8,1,0.016200748591670974,0.016200748591670974,0.016200748591670974,0.0039234022188946735,False,11
SVM,ASPN,50,0.01618784273692733,0.015318203045251206,0.01709543038333269,0.010366906887999352,False,12
SVM,HTRA1,50,0.01616887662028839,0.015309930952776139,0.01706471001104153,0.010507272118314363,False,13
SVM,COL1A2,50,0.016026458326904688,0.015130423007854336,0.016933928576785648,0.011120508503415467,False,14
SVM,PDGFRB,50,0.015907666566153677,0.015011118330423385,0.016796455253994078,0.011498512178077286,False,15
SVM,PEX12,8,0.01579691265500254,0.013847988415746158,0.017987575918721972,0.010126210002919366,False,16
SVM,TRIO,3,0.015781702449875087,0.012745572284018384,0.02094978714230837,0.012282615892125634,False,17
SVM,FBN1,50,0.01577482635131956,0.01482316375871339,0.01670168051068248,0.012071885604756185,False,18
SVM,P4HA3,50,0.015774011160185435,0.014914751904138268,0.01666155606704641,0.01011611073465698,False,19
SVM,COL1A1,50,0.015765247923301254,0.014875904045782422,0.016730846651061625,0.010245162243547956,False,20
SVM,DKK3,50,0.015761123260078447,0.014865275291840795,0.01667063689055468,0.009465461715971978,False,21
SVM,ECM2,50,0.015760992113886253,0.01490111536103014,0.016619541219026125,0.010635651673288993,False,22
SVM,COL5A2,50,0.01575534683711549,0.014833526878193583,0.016718859401760853,0.011584976818886362,False,23
SVM,GLT8D2,50,0.015753881489326552,0.01482453960706928,0.01666773975276393,0.010223621358280772,False,24
SVM,CDH11,50,0.01573478253687632,0.01481516153922148,0.016666194080221526,0.01176372994721794,False,25
SVM,SHROOM4,6,0.015730412933116302,0.014295454192705184,0.017476985620592442,0.008275737129938605,False,26
SVM,COL3A1,50,0.015694833924347593,0.01476562530851722,0.016594318304525277,0.011170689626717651,False,27
SVM,OMD,50,0.015694581964652884,0.014816396435559766,0.016540023772696723,0.010351506541948483,False,28
SVM,COL5A1,50,0.01569030966405469,0.014753329282600374,0.016593573084138367,0.010651909181008152,False,29
SVM,CENPA,50,0.015685586797791386,0.014892496426851512,0.016443514172333397,-0.0029352543619856723,False,30
