classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,E2F2,50,0.004652136151931775,0.004612174746916222,0.004693380935399704,-1.4324698459791387e-18,False
RF,E2F7,50,0.004126919487412257,0.004077030106251794,0.004178096941931048,-2.1784202711870105e-18,False
RF,E2F8,50,0.004722826950567864,0.004671164083043468,0.004773396323516896,-2.2097725520401786e-18,False
RF,EAF2,47,0.0038912615716836774,0.0038359513118810733,0.0039450359718517375,-5.799366868161706e-19,False
RF,EBF1,42,0.003869423784968915,0.00380005665404663,0.003935715170176627,-4.486385671124365e-19,False
RF,EBF4,50,0.0038639938951141152,0.0038114719008102813,0.00392001423121937,-2.2434139688340543e-18,False
RF,EBI3,50,0.002823700055858734,0.002773234112733404,0.0028719307364947003,1.0975306187359418e-19,False
RF,ECE1,33,0.0038783684296712748,0.0038196290104828144,0.003941815170973073,-1.917434587600721e-18,False
RF,ECHDC1,1,0.003565908914335961,0.003565908914335961,0.003565908914335961,2.4165609161157504e-18,False
RF,ECHDC3,7,0.003326744651563292,0.0032224621135989516,0.00344138104705206,4.1010754457496056e-19,False
RF,ECM1,50,0.004292250186115629,0.004227381171112258,0.004357878706439385,-1.9114984016187962e-18,False
RF,ECM2,50,0.0046647382026350995,0.004621518227751059,0.004705151913615261,-2.327778349853755e-18,False
RF,ECRG4,50,0.004611434632701692,0.004561675922992549,0.004663008366853033,1.503247137700907e-18,False
RF,ECT2,50,0.00421098177723358,0.00415043841154681,0.00426810190931323,-2.940507375372057e-18,False
RF,EDA2R,50,0.0038017258383927894,0.0037617119018222276,0.0038383750448003733,-1.2535789263087342e-18,False
RF,EDARADD,50,0.0041432383250871885,0.004102371621466296,0.0041824906696603025,-2.2305958384376146e-18,False
RF,EDEM3,37,0.004308186825346258,0.004256495249307749,0.004364470067223406,-1.709190064100009e-18,False
RF,EDIL3,50,0.004909835078731718,0.004852895944878851,0.00496540004526249,-2.2334690399986555e-18,False
RF,EDN1,50,0.003186823065918125,0.003135792682342934,0.003237752507493008,-3.940996364779594e-19,False
RF,EDN2,50,0.003251203560674362,0.0032042255610017973,0.0032989905231863917,-1.1766724887215973e-18,False
RF,EDNRA,50,0.004791264368330818,0.004737518395952636,0.004845674457279039,-2.5417840656027425e-18,False
